ride_month,start_station_name,monthly_rides,total_rides_for_month,total_rides_for_month_top10,popularity_relative_top10,popularity_absolute
2015-11,"Wormwood Street, Liverpool Street",3764,679551,37022,10.167,0.554
2015-12,"Wormwood Street, Liverpool Street",3142,603673,34087,9.218,0.52
2016-01,"Wormwood Street, Liverpool Street",3447,582492,32926,10.469,0.592
2016-02,"Wormwood Street, Liverpool Street",3385,593695,35354,9.575,0.57
2016-03,"Wormwood Street, Liverpool Street",3477,659448,44038,7.895,0.527
2016-04,"Wormwood Street, Liverpool Street",3635,772640,50428,7.208,0.47
2016-05,"Wormwood Street, Liverpool Street",4389,1001878,66895,6.561,0.438
2016-06,"Wormwood Street, Liverpool Street",4219,951412,61030,6.913,0.443
2016-07,"Wormwood Street, Liverpool Street",4765,1173751,79279,6.01,0.406
2016-08,"Wormwood Street, Liverpool Street",4704,1143776,75304,6.247,0.411
2016-09,"Wormwood Street, Liverpool Street",4731,1041676,62324,7.591,0.454
2016-10,"Wormwood Street, Liverpool Street",4461,935948,54214,8.229,0.477
2016-11,"Wormwood Street, Liverpool Street",3921,704335,39017,10.049,0.557
2016-12,"Wormwood Street, Liverpool Street",3055,651858,37296,8.191,0.469
2017-01,"Wormwood Street, Liverpool Street",3363,632433,37101,9.064,0.532
2017-02,"Wormwood Street, Liverpool Street",3105,612282,37196,8.348,0.507
2017-03,"Wormwood Street, Liverpool Street",3874,812873,50089,7.734,0.477
2017-04,"Wormwood Street, Liverpool Street",3381,908348,65034,5.199,0.372
2017-05,"Wormwood Street, Liverpool Street",4061,982816,64385,6.307,0.413
2017-06,"Wormwood Street, Liverpool Street",4421,1094355,68877,6.419,0.404
2017-07,"Wormwood Street, Liverpool Street",4509,1133048,75494,5.973,0.398
2017-08,"Wormwood Street, Liverpool Street",3704,982962,62311,5.944,0.377
2017-09,"Wormwood Street, Liverpool Street",3942,913300,53870,7.318,0.432
2017-10,"Wormwood Street, Liverpool Street",4184,951317,54416,7.689,0.44
2017-11,"Wormwood Street, Liverpool Street",3695,781786,42079,8.781,0.473
2017-12,"Wormwood Street, Liverpool Street",2229,526354,28550,7.807,0.423
2018-01,"Wormwood Street, Liverpool Street",3171,637781,36048,8.797,0.497
2018-02,"Wormwood Street, Liverpool Street",2644,568188,33384,7.92,0.465
2018-03,"Wormwood Street, Liverpool Street",2732,595999,35038,7.797,0.458
2018-04,"Wormwood Street, Liverpool Street",3339,813676,54396,6.138,0.41
2018-05,"Wormwood Street, Liverpool Street",4195,1099385,72931,5.752,0.382
2018-06,"Wormwood Street, Liverpool Street",4473,1168667,75858,5.897,0.383
2018-07,"Wormwood Street, Liverpool Street",4826,1239205,75447,6.397,0.389
2018-08,"Wormwood Street, Liverpool Street",4050,1046582,68419,5.919,0.387
2018-09,"Wormwood Street, Liverpool Street",4173,998118,57791,7.221,0.418
2018-10,"Wormwood Street, Liverpool Street",4402,967114,53544,8.221,0.455
2018-11,"Wormwood Street, Liverpool Street",3632,728658,38813,9.358,0.498
2018-12,"Wormwood Street, Liverpool Street",2334,578511,29710,7.856,0.403
2019-01,"Wormwood Street, Liverpool Street",3455,679520,35849,9.638,0.508
2019-02,"Wormwood Street, Liverpool Street",3182,691770,40062,7.943,0.46
2019-03,"Wormwood Street, Liverpool Street",3572,784410,43415,8.228,0.455
2019-04,"Wormwood Street, Liverpool Street",3792,880513,53705,7.061,0.431
2019-05,"Wormwood Street, Liverpool Street",4239,995968,57537,7.367,0.426
2019-06,"Wormwood Street, Liverpool Street",3917,993747,59403,6.594,0.394
2019-07,"Wormwood Street, Liverpool Street",4779,1138703,64788,7.376,0.42
2019-08,"Wormwood Street, Liverpool Street",3951,1041301,67749,5.832,0.379
2019-09,"Wormwood Street, Liverpool Street",4337,955206,53923,8.043,0.454
2019-10,"Wormwood Street, Liverpool Street",4160,841772,43517,9.559,0.494
2019-11,"Wormwood Street, Liverpool Street",3546,721661,35549,9.975,0.491
2019-12,"Wormwood Street, Liverpool Street",2558,585492,28703,8.912,0.437
2020-01,"Wormwood Street, Liverpool Street",3498,702683,36653,9.544,0.498
2020-02,"Wormwood Street, Liverpool Street",3221,634646,32544,9.897,0.508
2020-03,"Wormwood Street, Liverpool Street",2070,547830,25839,8.011,0.378
2020-04,"Wormwood Street, Liverpool Street",802,582788,17997,4.456,0.138
2020-05,"Wormwood Street, Liverpool Street",1581,1102153,45178,3.499,0.143
2020-06,"Wormwood Street, Liverpool Street",2686,1139072,48027,5.593,0.236
2020-07,"Wormwood Street, Liverpool Street",3164,1152311,56263,5.624,0.275
2020-08,"Wormwood Street, Liverpool Street",3345,1136433,55463,6.031,0.294
2020-09,"Wormwood Street, Liverpool Street",3674,1120897,47838,7.68,0.328
2020-10,"Wormwood Street, Liverpool Street",2919,837070,31426,9.288,0.349
2020-11,"Wormwood Street, Liverpool Street",2140,749763,32118,6.663,0.285
2020-12,"Wormwood Street, Liverpool Street",1680,581394,22732,7.39,0.289
2021-01,"Wormwood Street, Liverpool Street",1143,405015,16036,7.128,0.282
2021-02,"Wormwood Street, Liverpool Street",1317,504154,23574,5.587,0.261
2021-03,"Wormwood Street, Liverpool Street",2158,738522,38082,5.667,0.292
2021-04,"Wormwood Street, Liverpool Street",2779,930934,47786,5.816,0.299
2021-05,"Wormwood Street, Liverpool Street",3083,912059,39948,7.718,0.338
2021-06,"Wormwood Street, Liverpool Street",4060,1169603,56623,7.17,0.347
2021-07,"Wormwood Street, Liverpool Street",4329,1155434,55861,7.75,0.375
2021-08,"Wormwood Street, Liverpool Street",4706,1098972,58786,8.005,0.428
2021-09,"Wormwood Street, Liverpool Street",5358,1208914,55186,9.709,0.443
2021-10,"Wormwood Street, Liverpool Street",4581,1099712,48001,9.544,0.417
2021-11,"Wormwood Street, Liverpool Street",4719,936941,40491,11.654,0.504
2021-12,"Wormwood Street, Liverpool Street",2857,661029,28047,10.186,0.432
2022-01,"Wormwood Street, Liverpool Street",3279,741875,28863,11.361,0.442
2022-02,"Wormwood Street, Liverpool Street",3678,743581,32372,11.362,0.495
2022-03,"Wormwood Street, Liverpool Street",5390,1047369,51079,10.552,0.515
2022-04,"Wormwood Street, Liverpool Street",4349,1022467,51966,8.369,0.425
2022-05,"Wormwood Street, Liverpool Street",4943,1190590,57759,8.558,0.415
2022-06,"Wormwood Street, Liverpool Street",4731,1268701,60915,7.767,0.373
2022-07,"Wormwood Street, Liverpool Street",4957,1303376,65556,7.561,0.38
2022-08,"Wormwood Street, Liverpool Street",5128,1249038,63281,8.104,0.411
2022-09,"Wormwood Street, Liverpool Street",3139,609978,25171,12.471,0.515
2022-10,"Wormwood Street, Liverpool Street",3523,835240,32755,10.756,0.422
2022-11,"Wormwood Street, Liverpool Street",2830,593444,22569,12.539,0.477
2022-12,"Wormwood Street, Liverpool Street",1982,421860,15269,12.981,0.47
2023-01,"Wormwood Street, Liverpool Street",1010,233478,8039,12.564,0.433
